epoch,train_loss,train_accuracy,val_loss,val_accuracy,val_rmse_degree,learning_rate
1,2.95282106,5.275810,2.94816707,5.060729,5.50597761,0.0003
2,2.91421138,7.439271,2.80688773,13.663968,4.15574818,0.0003
3,2.59505398,15.650304,2.41038359,20.040486,4.42995417,0.0003
4,2.30932599,20.723684,2.22285097,24.089069,3.99924082,0.0003
5,2.18699146,24.962045,2.13780008,25.607287,3.71232764,0.0003
6,2.12134259,26.201923,2.08547541,29.251012,3.86290885,0.0003
7,2.07366505,27.922571,2.04270138,30.668016,3.61983962,0.0003
8,2.04108414,29.542004,2.03216330,28.744939,3.19554979,0.0003
9,2.01140462,29.972166,1.98866674,32.591093,3.44784742,0.0003
10,1.99056136,30.427632,1.96334925,33.198381,3.70741679,0.0003
11,1.96618674,31.844636,1.97283763,33.805668,3.29089038,0.0003
12,1.94958864,33.388158,1.92981402,34.817814,3.81333161,0.0003
13,1.93149977,33.805668,1.92174008,35.425101,3.48623667,0.0003
14,1.91371705,34.969636,1.91477318,36.943320,3.74584790,0.0003
15,1.89633750,35.247976,1.88544492,36.234818,3.73692051,0.0003
16,1.88631906,35.994433,1.90699255,36.740891,3.53725116,0.0003
17,1.87113431,36.627024,1.86280804,36.740891,3.50274618,0.0003
18,1.85963100,36.095648,1.85929395,37.550607,4.13805290,0.0003
19,1.84828161,36.664980,1.83709247,38.461538,3.51860296,0.0003
20,1.83634705,37.031883,1.83220892,37.550607,3.61732225,0.0003
21,1.82629751,36.411943,1.83281507,39.170040,3.63838622,0.0003
22,1.81737832,37.639170,1.82755060,39.271255,3.47809804,0.0003
23,1.80451774,38.195850,1.81174719,38.765182,3.41614410,0.0003
24,1.79998225,38.309717,1.81686698,37.145749,3.68468765,0.0003
25,1.79336744,38.119939,1.82702501,38.259109,3.98301048,0.0003
26,1.79129793,38.423583,1.81229330,38.259109,3.44960832,0.0003
27,1.78271504,38.638664,1.78229081,39.068826,3.70386602,0.0003
28,1.77131521,39.195344,1.78065936,39.068826,3.50837633,0.0003
29,1.76630043,38.790486,1.78070841,38.866397,3.45883835,0.0003
30,1.75858433,39.119433,1.77521302,37.449393,3.79883852,0.0003
